"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 03, 2018","65.20","65.20","65.20","65.20","-","0.00%"
"Aug 02, 2018","65.20","65.20","65.20","65.20","-","0.00%"
"Aug 01, 2018","65.20","65.20","65.20","65.20","-","0.00%"
"Jul 31, 2018","65.20","65.20","65.20","65.20","-","0.08%"
"Jul 30, 2018","65.15","65.15","65.15","65.15","-","0.00%"
"Jul 27, 2018","65.15","65.15","65.15","65.15","-","0.00%"
"Jul 26, 2018","65.15","65.15","65.15","65.15","-","0.93%"
"Jul 25, 2018","64.55","64.55","64.55","64.55","-","0.00%"
"Jul 24, 2018","64.55","64.55","64.55","64.55","-","0.00%"
"Jul 23, 2018","64.55","64.55","64.55","64.55","-","0.00%"
"Jul 20, 2018","64.55","64.55","64.55","64.55","-","0.23%"
"Jul 19, 2018","64.40","64.40","64.40","64.40","-","0.00%"
"Jul 18, 2018","64.40","64.40","64.40","64.40","-","0.00%"
"Jul 17, 2018","64.40","64.40","64.40","64.40","-","0.00%"
"Jul 16, 2018","64.40","64.40","64.40","64.40","-","0.00%"
"Jul 13, 2018","64.40","64.40","64.40","64.40","-","0.00%"
"Jul 12, 2018","64.40","64.40","64.40","64.40","-","1.74%"
"Jul 11, 2018","63.30","63.30","63.30","63.30","-","-2.24%"
"Jul 10, 2018","64.75","64.75","64.75","64.75","-","0.00%"
"Jul 09, 2018","64.75","64.75","64.75","64.75","-","1.57%"
"Jul 06, 2018","63.75","63.75","63.75","63.75","-","0.00%"
"Jul 05, 2018","63.75","63.75","63.75","63.75","-","0.24%"
"Jul 04, 2018","63.60","63.60","63.60","63.60","-","0.00%"
"Jul 03, 2018","63.60","63.60","63.60","63.60","-","2.00%"
"Jul 02, 2018","62.35","62.35","62.35","62.35","-","0.08%"
"Jun 29, 2018","62.30","62.30","62.30","62.30","-","0.65%"
"Jun 28, 2018","61.90","61.90","61.90","61.90","-","0.49%"
"Jun 27, 2018","61.60","61.60","61.60","61.60","-","0.33%"
"Jun 26, 2018","61.40","61.40","61.40","61.40","-","0.74%"
"Jun 25, 2018","60.95","60.95","60.95","60.95","-","0.00%"
"Jun 22, 2018","60.95","60.95","60.95","60.95","-","0.00%"
"Jun 21, 2018","60.95","60.95","60.95","60.95","-","0.58%"
"Jun 20, 2018","60.60","60.60","60.60","60.60","-","0.00%"
"Jun 19, 2018","60.60","60.60","60.60","60.60","-","0.00%"
"Jun 18, 2018","60.60","60.60","60.60","60.60","-","0.00%"
"Jun 15, 2018","60.60","60.60","60.60","60.60","-","0.00%"
"Jun 14, 2018","60.60","60.60","60.60","60.60","-","0.00%"
